id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
ENSG00000143772.11	3	0.79309	0.68704	0.941796	14423	0	0.022434	0.043625	0.12211	0.985198	2498	1	0.022434
ENSG00000114923.17	3	0.79314	0.68704	0.941796	14424	0	0.040731	0.64032	0.70516	1.0	12428	1	0.040731
ENSG00000243772.8	3	0.79319	0.68704	0.941796	14425	0	0.2006	0.22273	0.37179	1.0	7140	1	0.2006
ENSG00000197594.14	3	0.79327	0.68704	0.941796	14426	0	0.36951	0.011668	0.041949	0.985198	801	1	0.36951
ENSG00000160072.20	3	0.79329	0.68704	0.941796	14427	0	0.22507	0.78633	0.84266	1.0	14658	0	0.22507
ENSG00000108823.17	3	0.79336	0.68704	0.941796	14428	0	1.2817	0.0038624	0.010669	0.722356	293	2	1.2817
ENSG00000291303.1	3	0.79337	0.68704	0.941796	14429	0	0.21414	0.72732	0.77414	1.0	13654	1	0.21414
ENSG00000115590.14	3	0.79339	0.68704	0.941796	14430	0	0.091541	0.23914	0.39104	1.0	7464	1	0.091541
ENSG00000169035.12	3	0.79342	0.68704	0.941796	14431	0	0.85253	0.055661	0.16187	1.0	3024	2	0.85253
ENSG00000237412.7	3	0.79347	0.68704	0.941796	14432	0	0.2223	0.26749	0.42878	1.0	8110	1	0.2223
ENSG00000138459.9	3	0.79349	0.68704	0.941796	14433	0	0.41549	0.28535	0.46207	1.0	8478	2	0.41549
ENSG00000122741.16	3	0.79352	0.68704	0.941796	14434	0	0.4124	0.27959	0.44954	1.0	8345	2	0.4124
ENSG00000104140.7	3	0.79357	0.68704	0.941796	14435	0	-0.037162	0.65012	0.71225	1.0	12552	1	-0.037162
ENSG00000125363.14	3	0.79365	0.68704	0.941796	14436	0	0.1501	0.81912	0.87253	1.0	15172	0	0.1501
ENSG00000188626.7	3	0.79367	0.68704	0.941796	14437	0	0.17292	0.78682	0.84442	1.0	14664	0	0.17292
ENSG00000002587.10	3	0.79372	0.68704	0.941796	14438	0	0.18014	0.32594	0.51692	1.0	9218	1	0.18014
ENSG00000185129.8	3	0.7938	0.68704	0.941796	14439	0	-0.046613	0.77532	0.83637	1.0	14476	0	-0.046613
ENSG00000093010.15	3	0.79384	0.68704	0.941796	14440	0	-0.053283	0.29735	0.4827	1.0	8747	1	-0.053283
ENSG00000161642.18	6	0.79388	0.50516	0.835273	14441	1	0.41784	0.060483	0.21014	1.0	3180	3	0.41784
ENSG00000180745.5	3	0.79389	0.68704	0.941796	14442	0	0.044565	0.71167	0.75485	1.0	13395	1	0.044565
ENSG00000175206.11	3	0.79392	0.68704	0.941796	14443	0	0.12368	0.17331	0.3062	1.0	5957	1	0.12368
ENSG00000289695.1	3	0.79395	0.68704	0.941796	14444	0	0.83481	0.0087065	0.030752	0.985198	620	2	0.83481
ENSG00000152463.15	3	0.79398	0.68704	0.941796	14445	0	0.27839	0.068219	0.17012	1.0	3374	1	0.27839
ENSG00000125775.15	3	0.79403	0.68704	0.941796	14446	0	0.6101	0.16106	0.28787	1.0	5677	2	0.6101
ENSG00000167549.19	6	0.79406	0.50516	0.835273	14447	1	0.31024	0.30059	0.55516	1.0	8810	2	0.31024
ENSG00000204450.9	3	0.79412	0.68704	0.941796	14448	0	0.77055	0.11449	0.22992	1.0	4579	2	0.77055
ENSG00000085514.16	3	0.79425	0.68704	0.941796	14449	0	0.68988	0.14583	0.26768	1.0	5361	2	0.68988
ENSG00000256235.3	3	0.79428	0.68704	0.941796	14450	0	0.55718	0.051596	0.14979	1.0	2897	2	0.55718
ENSG00000112183.15	3	0.79433	0.68704	0.941796	14451	0	0.0056884	0.5827	0.6594	1.0	11772	1	0.0056884
ENSG00000130304.17	3	0.79436	0.68704	0.941796	14452	0	0.32807	0.29682	0.48071	1.0	8733	2	0.32807
ENSG00000145685.14	3	0.79445	0.68704	0.941796	14453	0	0.10633	0.3179	0.51586	1.0	9149	1	0.10633
ENSG00000275111.5	3	0.7945	0.68704	0.941796	14454	0	0.2563	0.32134	0.51586	1.0	9179	1	0.2563
ENSG00000197893.14	3	0.79455	0.6885	0.941796	14455	0	0.17177	0.54853	0.64409	1.0	11358	1	0.17177
ENSG00000181017.7	3	0.79456	0.6885	0.941796	14456	0	0.653	0.12132	0.24488	1.0	4742	2	0.653
ENSG00000177425.11	3	0.79458	0.6885	0.941796	14457	0	0.30841	0.51667	0.6238	1.0	11027	1	0.30841
ENSG00000129292.21	3	0.79461	0.6885	0.941796	14458	0	-0.010851	0.88355	0.92476	1.0	16187	0	-0.010851
ENSG00000256223.6	3	0.79466	0.6885	0.941796	14459	0	0.066879	0.024712	0.076578	0.985198	1524	1	0.066879
ENSG00000274529.6	3	0.79474	0.6885	0.941796	14460	0	0.51003	0.19861	0.34238	1.0	6581	2	0.51003
ENSG00000101670.12	3	0.79476	0.6885	0.941796	14461	0	0.10927	0.49277	0.6067	1.0	10772	1	0.10927
ENSG00000256966.6	3	0.79486	0.6885	0.941796	14462	0	0.61519	0.12719	0.25013	1.0	4898	2	0.61519
ENSG00000143537.14	3	0.79489	0.6885	0.941796	14463	0	0.43494	0.30686	0.50348	1.0	8937	2	0.43494
ENSG00000048392.13	3	0.79501	0.6885	0.941796	14464	0	0.15702	0.62682	0.69506	1.0	12277	1	0.15702
ENSG00000065618.21	3	0.79509	0.6885	0.941796	14465	0	0.054082	0.8759	0.91859	1.0	16064	0	0.054082
ENSG00000153391.16	3	0.79511	0.6885	0.941796	14466	0	-0.050922	0.39794	0.55049	1.0	9855	1	-0.050922
ENSG00000261793.1	3	0.79512	0.6885	0.941796	14467	0	0.85474	0.069353	0.17114	1.0	3405	2	0.85474
ENSG00000137959.17	3	0.79515	0.6885	0.941796	14468	0	0.4211	0.27573	0.44217	1.0	8275	2	0.4211
ENSG00000102890.16	3	0.79519	0.6885	0.941796	14469	0	0.77067	0.092077	0.20284	1.0	4022	2	0.77067
ENSG00000148672.10	3	0.7952	0.6885	0.941796	14470	0	0.10216	0.088834	0.19806	1.0	3936	1	0.10216
ENSG00000169641.16	5	0.79521	0.55234	0.882591	14471	0	1.4287	0.00048435	0.0024533	0.5	55	3	1.4287
ENSG00000198443.8	3	0.79522	0.6885	0.941796	14472	0	0.53288	0.19457	0.33565	1.0	6473	2	0.53288
ENSG00000249242.8	3	0.79525	0.6885	0.941796	14473	0	0.01791	0.46806	0.59233	1.0	10528	1	0.01791
ENSG00000078043.16	3	0.79527	0.6885	0.941796	14474	0	0.06473	0.17681	0.31416	1.0	6054	1	0.06473
ENSG00000115365.13	3	0.79529	0.6885	0.941796	14475	0	0.37563	0.13513	0.25615	1.0	5110	2	0.37563
ENSG00000239264.9	3	0.79532	0.6885	0.941796	14476	0	0.07154	0.27794	0.44549	1.0	8319	1	0.07154
ENSG00000206105.2	3	0.79535	0.6885	0.941796	14477	0	0.29467	0.26876	0.43362	1.0	8132	1	0.29467
ENSG00000079435.11	3	0.7954	0.6885	0.941796	14478	0	0.19588	0.42175	0.56265	1.0	10075	1	0.19588
ENSG00000204700.5	6	0.79542	0.50828	0.839321	14479	1	0.75964	0.025385	0.1218	0.985198	1557	4	0.75964
ENSG00000181982.20	3	0.79547	0.6885	0.941796	14480	0	0.46336	0.2714	0.43673	1.0	8183	2	0.46336
ENSG00000267001.1	3	0.79548	0.6885	0.941796	14481	0	0.045752	0.31886	0.51586	1.0	9159	1	0.045752
