id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
ENSG00000105229.7	3	0.7105	0.54499	0.845188	12904	0	-0.40173	0.021228	0.054969	0.884839	1235	1	-0.40173
ENSG00000182240.16	3	0.7105	0.54499	0.845188	12905	0	0.13276	0.46116	0.54252	1.0	9605	1	0.13276
ENSG00000182175.15	3	0.7105	0.54499	0.845188	12906	0	0.80976	0.12723	0.2403	1.0	4377	2	0.80976
ENSG00000128610.12	3	0.7105	0.54499	0.845188	12907	0	0.61748	0.19591	0.3485	1.0	6243	2	0.61748
ENSG00000164241.14	4	0.71063	0.47894	0.800606	12908	1	0.25583	0.094401	0.20561	1.0	3496	2	0.25583
ENSG00000156096.15	3	0.71065	0.54499	0.845188	12909	0	0.26165	0.38504	0.4865	1.0	8636	1	0.26165
ENSG00000205678.8	3	0.71078	0.54589	0.845542	12910	0	0.45692	0.4304	0.52084	1.0	9222	1	0.45692
ENSG00000172057.10	3	0.71078	0.54589	0.845542	12911	0	-0.2937	0.1494	0.27286	1.0	4968	1	-0.2937
ENSG00000130592.17	3	0.71078	0.54589	0.845542	12912	0	0.80413	0.12018	0.23151	1.0	4169	2	0.80413
ENSG00000170289.13	3	0.71078	0.54589	0.845542	12913	0	0.65878	0.17354	0.30932	1.0	5659	2	0.65878
ENSG00000187272.7	3	0.71088	0.5468	0.845542	12914	0	0.31589	0.13739	0.25464	1.0	4649	1	0.31589
ENSG00000167703.15	3	0.71113	0.5468	0.845542	12915	0	0.068633	0.80273	0.8614	1.0	15140	0	0.068633
ENSG00000141384.13	3	0.71113	0.5468	0.845542	12916	0	0.42266	0.61144	0.66101	1.0	11867	1	0.42266
ENSG00000111961.19	3	0.71113	0.5468	0.845542	12917	0	1.748	0.0040682	0.011878	0.811579	279	2	1.748
ENSG00000075340.23	3	0.71113	0.5468	0.845542	12918	0	-0.37839	0.87806	0.92816	1.0	16459	0	-0.37839
ENSG00000164463.12	3	0.71113	0.5468	0.845542	12919	0	0.27802	0.23203	0.36485	1.0	6706	1	0.27802
ENSG00000100147.15	3	0.71113	0.5468	0.845542	12920	0	0.76112	0.1488	0.272	1.0	4959	2	0.76112
ENSG00000125741.6	3	0.71113	0.5468	0.845542	12921	0	0.17786	0.43552	0.52364	1.0	9289	1	0.17786
ENSG00000128165.9	3	0.71113	0.5468	0.845542	12922	0	0.314	0.12671	0.23944	1.0	4361	1	0.314
ENSG00000185761.11	3	0.71113	0.5468	0.845542	12923	0	0.29521	0.038676	0.086241	0.955903	1788	1	0.29521
ENSG00000177025.3	3	0.71113	0.5468	0.845542	12924	0	1.4844	0.01413	0.037737	0.862696	855	2	1.4844
ENSG00000134247.10	3	0.71113	0.5468	0.845542	12925	0	-0.44496	0.24785	0.37472	1.0	6890	1	-0.44496
ENSG00000282608.2	3	0.71113	0.5468	0.845542	12926	0	0.0	0.33924	0.43531	1.0	8049	1	0.0
ENSG00000158006.14	3	0.71113	0.5468	0.845542	12927	0	-0.15475	0.50545	0.57819	1.0	10225	1	-0.15475
ENSG00000068724.18	3	0.71113	0.5468	0.845542	12928	0	0.035958	0.11115	0.22079	1.0	3940	1	0.035958
ENSG00000115841.21	3	0.71113	0.5468	0.845542	12929	0	0.59595	0.49265	0.56837	1.0	10045	1	0.59595
ENSG00000119661.15	4	0.71126	0.47894	0.800606	12930	1	-0.24374	0.9385	0.96926	1.0	17458	0	-0.24374
ENSG00000021300.14	6	0.71132	0.51815	0.830548	12931	1	0.43913	0.1911	0.40004	1.0	6121	3	0.43913
ENSG00000122203.15	3	0.71153	0.54769	0.845542	12932	0	0.038987	0.50739	0.57819	1.0	10253	1	0.038987
ENSG00000196917.6	3	0.71153	0.54769	0.845542	12933	0	0.3467	0.55828	0.60774	1.0	11055	1	0.3467
ENSG00000237452.3	3	0.71153	0.54769	0.845542	12934	0	0.55705	0.088169	0.17061	1.0	3328	1	0.55705
ENSG00000179520.11	3	0.71153	0.54769	0.845542	12935	0	0.46423	0.29566	0.40726	1.0	7506	1	0.46423
ENSG00000176797.4	3	0.71153	0.54769	0.845542	12936	0	0.051112	0.5313	0.58808	1.0	10609	1	0.051112
ENSG00000149483.13	3	0.71153	0.54769	0.845542	12937	0	-0.33916	0.6486	0.68923	1.0	12493	0	-0.33916
ENSG00000236398.2	3	0.71173	0.54858	0.845542	12938	0	0.16417	0.73232	0.77167	1.0	13925	0	0.16417
ENSG00000254122.3	3	0.71181	0.54858	0.845542	12939	0	0.50469	0.23489	0.36624	1.0	6749	1	0.50469
ENSG00000143653.10	3	0.71181	0.54858	0.845542	12940	0	0.50336	0.54861	0.6008	1.0	10893	1	0.50336
ENSG00000198336.9	3	0.71181	0.54858	0.845542	12941	0	0.024087	0.30697	0.41706	1.0	7657	1	0.024087
ENSG00000152475.7	3	0.71181	0.54858	0.845542	12942	0	-0.2937	0.90125	0.94585	1.0	16844	0	-0.2937
ENSG00000187037.9	3	0.7119	0.54858	0.845542	12943	0	-0.48872	0.8832	0.93126	1.0	16547	0	-0.48872
ENSG00000139289.15	6	0.71197	0.51815	0.830548	12944	1	0.060311	0.19891	0.4149	1.0	6320	2	0.060311
ENSG00000196388.9	6	0.71197	0.51815	0.830548	12945	1	-0.22828	0.91564	0.937	1.0	17076	0	-0.22828
ENSG00000162365.13	3	0.71212	0.54858	0.845542	12946	0	0.35429	0.18306	0.32506	1.0	5913	1	0.35429
ENSG00000188305.6	3	0.71212	0.54858	0.845542	12947	0	-0.47481	0.46324	0.54744	1.0	9636	1	-0.47481
ENSG00000187546.14	3	0.71212	0.54858	0.845542	12948	0	0.083836	0.10641	0.20432	1.0	3813	1	0.083836
ENSG00000196260.5	3	0.71212	0.54858	0.845542	12949	0	0.5696	0.43943	0.52641	1.0	9339	1	0.5696
ENSG00000187033.9	3	0.71212	0.54858	0.845542	12950	0	0.068789	0.64879	0.68923	1.0	12496	0	0.068789
ENSG00000167800.10	3	0.71212	0.54858	0.845542	12951	0	-0.27193	0.85201	0.90558	1.0	16011	0	-0.27193
ENSG00000136535.15	3	0.71212	0.54858	0.845542	12952	0	0.10049	0.76108	0.81136	1.0	14424	0	0.10049
ENSG00000183166.12	3	0.71212	0.54858	0.845542	12953	0	0.11088	0.3158	0.42262	1.0	7785	1	0.11088
ENSG00000205592.16	3	0.71236	0.54858	0.845542	12954	0	-0.12948	0.57608	0.63034	1.0	11327	1	-0.12948
ENSG00000185864.20	2	0.71257	0.6157	0.882183	12955	0	0.22397	0.48642	0.53816	1.0	9955	1	0.22397
ENSG00000177830.18	3	0.71258	0.54858	0.845542	12956	0	0.11626	0.50383	0.57819	1.0	10195	1	0.11626
ENSG00000126070.20	3	0.71258	0.54858	0.845542	12957	0	0.51628	0.58158	0.63593	1.0	11414	1	0.51628
ENSG00000155368.18	3	0.71258	0.54858	0.845542	12958	0	0.95385	0.08168	0.16032	1.0	3121	2	0.95385
ENSG00000197124.12	3	0.71258	0.54858	0.845542	12959	0	0.3093	0.20705	0.35369	1.0	6420	1	0.3093
ENSG00000085563.15	3	0.71282	0.54858	0.845542	12960	0	-0.32425	0.37405	0.47465	1.0	8484	1	-0.32425
ENSG00000229292.2	3	0.71282	0.54858	0.845542	12961	0	-0.25517	0.85437	0.90657	1.0	16051	0	-0.25517
ENSG00000212721.4	3	0.71282	0.54858	0.845542	12962	0	0.050138	0.072361	0.14572	1.0	2829	1	0.050138
ENSG00000157330.10	3	0.71282	0.54858	0.845542	12963	0	-0.0095705	0.8667	0.92078	1.0	16260	0	-0.0095705
ENSG00000083457.12	3	0.71282	0.54858	0.845542	12964	0	0.036217	0.6081	0.66101	1.0	11802	1	0.036217
ENSG00000105321.14	3	0.71317	0.54858	0.845542	12965	0	0.018224	0.30059	0.41138	1.0	7569	1	0.018224
ENSG00000171631.16	3	0.71317	0.54858	0.845542	12966	0	0.50133	0.20546	0.35369	1.0	6405	1	0.50133
ENSG00000101493.11	3	0.71317	0.54858	0.845542	12967	0	0.90657	0.10268	0.20174	1.0	3708	2	0.90657
ENSG00000163681.17	3	0.71317	0.54858	0.845542	12968	0	0.16572	0.60704	0.66101	1.0	11785	1	0.16572
ENSG00000128185.10	3	0.71317	0.54858	0.845542	12969	0	-0.52102	0.90738	0.94963	1.0	16935	0	-0.52102
ENSG00000197183.15	3	0.71317	0.54858	0.845542	12970	0	-0.21397	0.80407	0.86263	1.0	15161	0	-0.21397
ENSG00000164185.7	3	0.71317	0.54858	0.845542	12971	0	0.38565	0.62641	0.67942	1.0	12120	1	0.38565
ENSG00000213886.4	3	0.71317	0.54858	0.845542	12972	0	1.1453	0.043805	0.093547	0.955903	1950	2	1.1453
ENSG00000165138.18	3	0.71317	0.54858	0.845542	12973	0	0.75366	0.086944	0.16984	1.0	3288	2	0.75366
