id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
ENSG00000122034.17	3	0.68533	0.6854	1.0	12347	1	-0.40305	0.90125	0.90137	1.0	16864	0	-0.40305
ENSG00000091428.18	3	0.68533	0.6854	1.0	12348	1	0.28223	0.68254	0.68258	1.0	13093	0	0.28223
ENSG00000286019.3	3	0.68533	0.6854	1.0	12349	1	0.0	0.17231	0.27192	0.982645	5634	1	0.0
ENSG00000204300.7	3	0.68533	0.6854	1.0	12350	1	-0.59038	0.26878	0.35023	0.995988	7167	1	-0.59038
ENSG00000113356.13	3	0.68533	0.6854	1.0	12351	1	0.20211	0.73754	0.7378	1.0	14032	0	0.20211
ENSG00000167565.14	3	0.68574	0.68583	1.0	12352	1	-0.18413	0.45644	0.48001	1.0	9562	1	-0.18413
ENSG00000101752.13	3	0.68574	0.68583	1.0	12353	1	-0.46853	0.86204	0.86208	1.0	16199	0	-0.46853
ENSG00000226941.9	3	0.68574	0.68583	1.0	12354	1	0.67631	0.16418	0.26089	0.981615	5420	2	0.67631
ENSG00000101084.19	3	0.68574	0.68583	1.0	12355	1	-0.3409	0.61338	0.61412	1.0	11907	1	-0.3409
ENSG00000165409.18	3	0.68574	0.68583	1.0	12356	1	-0.52042	0.88827	0.88836	1.0	16652	0	-0.52042
ENSG00000196800.7	3	0.68574	0.68583	1.0	12357	1	-0.40344	0.60284	0.60411	1.0	11738	1	-0.40344
ENSG00000182551.14	3	0.68574	0.68583	1.0	12358	1	0.27802	0.78686	0.78708	1.0	14880	0	0.27802
ENSG00000197893.14	3	0.68574	0.68583	1.0	12359	1	0.039842	0.68919	0.6892	1.0	13209	0	0.039842
ENSG00000197261.12	3	0.68574	0.68583	1.0	12360	1	-0.50131	0.2109	0.31483	0.991937	6475	1	-0.50131
ENSG00000034713.8	3	0.68603	0.68611	1.0	12361	1	-0.18864	0.20207	0.30963	0.988895	6374	1	-0.18864
ENSG00000082153.18	3	0.68617	0.68626	1.0	12362	1	0.030912	0.51152	0.52374	1.0	10331	1	0.030912
ENSG00000007171.19	3	0.68617	0.68626	1.0	12363	1	0.87901	0.021578	0.055511	0.89022	1259	2	0.87901
ENSG00000182264.9	3	0.68617	0.68626	1.0	12364	1	0.24505	0.52352	0.53372	1.0	10510	1	0.24505
