id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
ENSG00000188070.9	3	0.30019	0.35029	0.999999	5126	1	-0.13937	0.80916	0.80917	1.0	15049	0	-0.13937
ENSG00000120833.14	3	0.30026	0.35034	0.999999	5127	1	0.53989	0.10936	0.19999	0.918739	4462	2	0.53989
ENSG00000106772.19	3	0.30037	0.35043	0.999999	5128	1	0.22479	0.72597	0.72722	1.0	13653	1	0.22479
ENSG00000183960.9	3	0.30078	0.35073	0.999999	5129	1	-0.27496	0.80952	0.80951	1.0	15055	0	-0.27496
ENSG00000177614.11	3	0.30086	0.35077	0.999999	5130	1	0.32381	0.68601	0.69167	1.0	13069	1	0.32381
ENSG00000167977.9	3	0.30104	0.35091	0.999999	5131	1	0.72896	0.097348	0.18438	0.909353	4161	2	0.72896
ENSG00000186994.12	3	0.30112	0.35096	0.999999	5132	1	-0.29774	0.49876	0.55705	1.0	10850	1	-0.29774
ENSG00000187741.16	3	0.30115	0.35099	0.999999	5133	1	-0.235	0.67213	0.67996	1.0	12867	1	-0.235
ENSG00000150722.11	3	0.30123	0.35105	0.999999	5134	1	-0.23566	0.5697	0.60334	1.0	11611	1	-0.23566
ENSG00000158258.16	3	0.3013	0.35109	0.999999	5135	1	-0.34794	0.77787	0.77812	1.0	14534	0	-0.34794
ENSG00000129467.14	3	0.30149	0.35122	0.999999	5136	1	0.25302	0.48778	0.55021	1.0	10727	1	0.25302
ENSG00000161681.17	3	0.30179	0.35143	0.999999	5137	1	-0.25678	0.95884	0.95907	1.0	17464	0	-0.25678
ENSG00000136213.10	3	0.30183	0.35146	0.999999	5138	1	-0.056628	0.14109	0.24067	0.938465	5266	1	-0.056628
ENSG00000111664.11	3	0.30201	0.35158	0.999999	5139	1	0.0087869	0.90937	0.90948	1.0	16636	0	0.0087869
ENSG00000113758.14	3	0.30205	0.35161	0.999999	5140	1	0.19002	0.62532	0.64334	1.0	12275	1	0.19002
ENSG00000189326.5	5	0.30215	0.43603	0.999999	5141	2	0.13461	0.58532	0.72402	1.0	11815	2	0.13461
